,Meldung,Reaktion,Tat,weitere Zeitangaben,Sum
Dummheit,3,2,2,0,7
Gefahr für priesterliches Ansehen,1,1,1,0,3
Kirchenrechtlich,1,1,1,0,3
Liebesbeziehung,4,1,3,0,8
Missbrauch,8,2,6,0,16
Schutz- und Hilfsbedürftigkeit,1,1,1,0,3
Strafrechtlich,4,2,2,0,8
Verhältnis nicht weiter spezifiziert,5,2,4,1,12
Verstoß gegen 6. Gebot,1,1,1,0,3
Weitere Framings,2,2,2,0,6
Zölibatsverstoß,0,0,1,0,1
der Frau,1,1,0,0,2
durch Frau,2,1,2,0,5
moralische Verurteilung,3,2,3,0,8
sexuelle Handlungen,1,0,1,0,2
unerheblich,3,2,1,0,6
verklausuliert,3,2,3,0,8
"Übergriff, Gewalt etc.",1,1,1,0,3
Sum,44,24,35,1,104
