,Berührungen,Entblößen des eigenen Körpers,Penetration,Sprache/Gesten/Aufforderungen,Verhältnis,nicht spezifizierte Taten,reproduktiv,spirituell,weitere Vorwürfe,Sum
Druck/Zwang,1,0,1,1,0,1,0,1,1,6
"Entschädigung, Wiedergutmachung etc.",1,0,0,0,0,1,0,0,0,2
Loyalität mit dem Täter,3,0,2,2,1,2,1,1,2,14
"Maßnahme, Strafe",8,0,2,4,3,11,0,2,8,38
Neutralisierung,2,1,1,1,0,3,0,1,2,11
Schweigegebot,1,0,1,1,0,1,0,1,1,6
Solidarisierung mit Betroffenen,1,0,1,1,0,0,0,0,0,3
Verschleierung,2,0,1,1,1,1,0,1,2,9
Verzögerung,2,0,1,1,1,4,0,2,3,14
Victim Blaming (Bistum),1,0,1,1,0,1,0,1,1,6
Vorgehen allgemein,8,0,1,4,2,12,1,1,6,35
keine Konsequenzen,7,0,1,2,2,7,1,2,8,30
Sum,37,1,13,19,10,44,3,13,34,174
