,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
Beichte,1,1,1,0,0,1,0,0,0,0,0,4
Bildung,1,4,1,0,0,2,0,0,1,0,0,9
Dienstverhältnis,1,1,3,0,0,1,0,0,2,0,2,10
Geistliche Begleitung,0,0,0,1,1,0,0,1,0,0,0,3
Geistliche Gemeinschaften,0,0,0,1,2,0,0,2,0,0,0,5
Jugendarbeit,1,2,1,0,0,4,0,0,2,0,0,10
Kategoriale Seelsorge,0,0,0,0,0,0,1,0,1,0,0,2
Orden,0,0,0,1,2,0,0,2,0,0,0,5
Pfarrei,0,1,2,0,0,2,1,0,9,0,2,17
Seelsorge,0,0,0,0,0,0,0,0,0,1,0,1
weitere Tatkonstellationen,0,0,2,0,0,0,0,0,2,0,4,8
Sum,4,9,10,3,5,10,2,5,17,1,8,74
