,Druck/Zwang,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,"Maßnahme, Strafe",Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Verschleierung,Verzögerung,Victim Blaming (Bistum),Vorgehen allgemein,keine Konsequenzen,Sum
Dummheit,0,0,0,0,0,0,0,0,0,0,0,0,0
Gefahr für priesterliches Ansehen,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirchenrechtlich,0,0,0,5,0,0,0,0,0,0,1,1,7
Liebesbeziehung,0,0,0,0,0,0,0,0,0,0,0,0,0
Missbrauch,0,0,0,0,0,0,0,0,0,0,2,0,2
Schutz- und Hilfsbedürftigkeit,0,0,0,0,0,0,0,0,0,0,0,0,0
Strafrechtlich,0,0,0,1,0,0,0,1,0,0,3,0,5
Verhältnis nicht weiter spezifiziert,0,0,0,0,0,0,0,0,0,0,0,0,0
Verstoß gegen 6. Gebot,0,0,0,0,0,0,0,0,0,0,0,0,0
Weitere Framings,0,0,0,0,0,0,0,2,0,0,0,0,2
Zölibatsverstoß,0,0,0,0,0,0,0,0,0,0,0,0,0
der Frau,0,0,0,0,0,0,0,0,0,0,0,0,0
durch Frau,0,0,0,0,0,0,0,0,0,0,0,0,0
moralische Verurteilung,0,0,0,2,0,0,0,0,0,0,0,0,2
sexuelle Handlungen,0,0,0,0,0,0,0,0,0,0,0,0,0
unerheblich,0,0,0,0,0,0,0,1,0,0,0,0,1
verklausuliert,0,0,0,1,0,0,0,1,0,0,1,1,4
"Übergriff, Gewalt etc.",0,0,0,0,0,0,0,0,0,0,1,0,1
Sum,0,0,0,9,0,0,0,5,0,0,8,2,24
