,tag_type,word_count,percentage
0,Missbrauch,250,18.741
1,unerheblich,219,16.417
2,Kirchenrechtlich,201,15.067
3,verklausuliert,105,7.871
4,moralische Verurteilung,104,7.796
5,Strafrechtlich,76,5.697
6,Gefahr für priesterliches Ansehen,71,5.322
7,Verhältnis nicht weiter spezifiziert,57,4.273
8,Liebesbeziehung,57,4.273
9,Dummheit,56,4.198
10,"Übergriff, Gewalt etc.",45,3.373
11,Zölibatsverstoß,22,1.649
12,der Frau,22,1.649
13,durch Frau,21,1.574
14,Weitere Framings,17,1.274
15,Verstoß gegen 6. Gebot,8,0.6
16,sexuelle Handlungen,2,0.15
17,Schutz- und Hilfsbedürftigkeit,1,0.075
